year,Member States,Returnees_total,Frontex staff,"Escorts, observers, escort leaders, medical staff",Medical personnel,Monitors,frontex_contribution,Escort Leaders,Escorts,Escorts from Pool,frontex_contribution_per_person,use_of_force
2016,Italy,800,3,510,0,4,2136220.32,0,0,0,2670.2754,0
2016,Lithuania,9,0,14,0,0,3752.8199999999997,0,0,0,416.97999999999996,0
2016,Luxembourg,30,0,28,0,3,33672.9,0,0,0,1122.43,0
2016,Malta,4,0,12,0,2,1631.92,0,0,0,407.98,0
2016,Missing data,0,0,0,0,0,0,0,0,0,0,0
2016,N/A,0,0,0,0,15,0,0,0,0,0,0
2016,Netherlands,58,0,154,0,6,385817.01999999996,0,0,0,6652.017586206895,0
2016,Norway,92,0,82,0,0,644616.5399999999,0,0,0,7006.70152173913,0
2016,Poland,6,0,18,0,0,0,0,0,0,0,0
2016,Portugal,1,0,3,0,2,1980.7,0,0,0,1980.7,0
2016,Romania,1,0,3,0,0,0,0,0,0,0,0
2016,Slovakia,1,0,3,0,0,0,0,0,0,0,0
2016,Spain,362,0,772,0,1,3144259.37,0,0,0,8685.799364640885,0
2016,Sweden,324,0,608,0,1,1223455.69,0,0,0,3776.097808641975,0
2016,Switzerland,87,0,245,0,11,664921.262,0,0,0,7642.773126436781,0
2016,UK,47,0,105,0,0,0,0,0,0,0,0
2017,Albania,0,0,0,0,3,0,0,0,0,0,0
2017,Austria,541,0,1650,0,12,6688517.89,0,0,0,12363.249334565618,0
2017,Belgium,277,1,347,0,8,1546131.49,0,0,0,5581.702129963899,0
2017,Bulgaria,31,0,15,0,1,46985.88,0,0,0,1515.6735483870966,0
2017,Czech Republic,3,0,14,0,2,0,0,0,0,0,0
2017,Denmark,27,0,30,0,2,152172.32,0,0,0,5636.011851851852,0
2017,Finland,100,0,210,0,6,1122862.52,0,0,0,11228.6252,0
2017,France,1018,24,94,0,5,3579183.7,0,0,0,3515.8975442043225,0
2017,Frontex,0,59,0,0,0,0,0,0,0,0,0
2017,Georgia,0,0,0,0,2,0,0,0,0,0,0
2017,Germany,8637,13,3745,0,0,11641266.41,0,0,0,1347.8367963413223,0
2017,Greece,194,0,574,0,0,2950162.55,0,0,0,15207.023453608246,0
2017,Hungary,93,0,273,0,2,6575.52,0,0,0,70.70451612903226,0
2017,Iceland,306,0,246,0,4,1087127.77,0,0,0,3552.7051307189545,0
2017,Italy,1992,0,286,0,2,6013431.7299999995,0,0,0,3018.791029116466,0
2017,Lithuania,2,0,6,0,0,0,0,0,0,0,0
2017,Luxembourg,81,0,71,0,7,71250.63,0,0,0,879.6374074074074,0
2017,Malta,1,0,3,0,1,0,0,0,0,0,0
2017,Monitor(s),0,0,0,0,174,128980.1,0,0,0,0,0
2017,Netherlands,29,0,66,0,3,734405.84,0,0,0,25324.339310344825,0
2017,Norway,36,0,149,0,0,393682.60000000003,0,0,0,10935.62777777778,0
2017,Poland,10,0,35,0,0,0,0,0,0,0,0
2017,Portugal,1,0,0,0,5,0,0,0,0,0,0
2017,Romania,2,0,6,0,5,0,0,0,0,0,0
2017,Slovakia,7,0,14,0,0,0,0,0,0,0,0
2017,Slovenia,3,0,9,0,0,0,0,0,0,0,0
2017,Spain,409,1,690,0,2,2399115.37,0,0,0,5865.807750611247,0
2017,Sweden,220,0,632,0,0,2610779.35,0,0,0,11867.178863636364,0
2017,Switzerland,87,1,320,0,2,653848.69,0,0,0,7515.5021839080455,0
2017,UK,35,0,100,0,0,0,0,0,0,0,0
2017,Ukraine,0,0,0,0,1,0,0,0,0,0,0
2018,Albania,0,0,0,0,1,0,0,0,0,0,0
2018,Austria,701,2,1646,106,115,5820822.86,0,0,0,8303.598944365192,0
2018,Belgium,259,0,97,1,3,621935.35,0,0,0,2401.2947876447874,0
2018,Bulgaria,8,0,15,1,1,18416.55,0,0,0,2302.06875,0
2018,Czech Republic,0,0,5,0,7,7075.84,0,0,0,0,0
2018,Denmark,0,0,0,0,1,0,0,0,0,0,0
2018,Finland,29,0,87,2,4,534021.51,0,0,0,18414.53482758621,0
2018,France,1082,34,1629,85,14,2759314.62,0,0,0,2550.1983548983367,0
2018,Frontex,0,0,19,2,0,538850,0,0,0,0,0
2018,Frontex staff,0,67,0,0,0,362466.74,0,0,0,0,0
2018,Georgia,0,0,0,0,0,0,0,0,0,0,0
2018,Germany,6852,26,6482,244,31,12410038.27,0,0,0,1811.1556144191477,0
2018,Greece,68,0,166,3,6,0,0,0,0,0,0
2018,Hungary,29,0,149,10,5,217267.66999999998,0,0,0,7491.9886206896545,0
2018,Iceland,83,1,138,1,5,653580.92,0,0,0,7874.468915662651,0
2018,Italy,2008,1,5122,227,12,5371202.29,0,0,0,2674.9015388446214,0
2018,Latvia,0,0,0,0,2,0,0,0,0,0,0
2018,Lithuania,2,0,6,0,0,6156.96,0,0,0,3078.48,0
2018,ltaly,19,0,66,2,0,72316,0,0,0,3806.1052631578946,0
2018,Luxembourg,9,0,24,0,8,11060.11,0,0,0,1228.9011111111113,0
2018,Malta,0,0,0,0,2,0,0,0,0,0,0
2018,Montenegro,0,0,0,0,0,0,0,0,0,0,0
2018,Netherlands,127,1,35,3,31,122875.28,0,0,0,967.5218897637795,0
2018,Norway,13,0,37,0,0,196648.29,0,0,0,15126.791538461539,0
2018,Poland,6,0,18,0,0,14059.2,0,0,0,2343.2000000000003,0
2018,Portugal,4,0,11,0,18,7064.07,0,0,0,1766.0175,0
2018,Romania,0,0,0,0,11,0,0,0,0,0,0
